===========================
Normal rounds testing
===========================
Testing Alzette_b7e15162_k16_nr4, using 2^42 data, seeds 0000000000000123 0000000000000456
Trail (state words):
  80008000 c000c000 
  e682e682 c100c100 
  e081e081 c201c201 
  04030403 07000700 
  e280e280 03030303 
Found match #1 e2722d7e:c01e18bb (... follows trail? 1)
Found match #2 86be3278:fc0a2429 (... follows trail? 1)
Found match #3 e130165c:cee7b477 (... follows trail? 1)
Found match #4 02b634da:7657a44d (... follows trail? 1)
Found match #5 bb900916:54edb296 (... follows trail? 1)
Found match #6 9d44058c:707f3029 (... follows trail? 1)
Found match #7 9daa67c6:6e5a8859 (... follows trail? 1)
Found match #8 86282464:5e5c092a (... follows trail? 1)
Found match #9 95f28698:e873ae54 (... follows trail? 1)
Found match #10 a82637fa:54a71ee1 (... follows trail? 1)
  failed follow at round 2/4: 06060606 != 06020602
  failed follow at round 3/4: e281e281 != e280e280
Found match #11 adc86d80:624c0226 (... follows trail? 0)
Found match #12 95b82668:ea60818a (... follows trail? 1)
Found match #13 81382788:7ced1c2a (... follows trail? 1)
Found match #14 bd306da8:c25ec869 (... follows trail? 1)
  failed follow at round 2/4: 06060606 != 06020602
  failed follow at round 3/4: e281e281 != e280e280
Found match #15 3f2a1d58:509bf0d4 (... follows trail? 0)
Found match #16 bdc80512:c2fa26cb (... follows trail? 1)
Found match #17 ad3238fa:4ae1810a (... follows trail? 1)
Found match #18 f1c03a44:c09e9a08 (... follows trail? 1)
Found match #19 ae943178:0ad81094 (... follows trail? 1)
Found match #20 cbb6331c:4e440e61 (... follows trail? 1)
Found match #21 90341248:607d9e6a (... follows trail? 1)
Found match #22 a2684066:c5b794bf (... follows trail? 1)
Found match #23 8e063f12:45170411 (... follows trail? 1)
Found match #24 c30aeebc:4a350081 (... follows trail? 1)
Found match #25 91908e18:343c305a (... follows trail? 1)
Found match #26 83b24934:55d91006 (... follows trail? 1)
Found match #27 b3be2e42:cc6990e6 (... follows trail? 1)
Found match #28 ef3a64aa:c4c508a6 (... follows trail? 1)
Found match #29 a7882ddc:cbb9e8d4 (... follows trail? 1)
Found match #30 d1800f94:44fdb639 (... follows trail? 1)
Found match #31 28423fd2:e0ce1479 (... follows trail? 1)
  failed follow at round 2/4: 06060606 != 06020602
  failed follow at round 3/4: e281e281 != e280e280
Found match #32 05ee2442:62b1e07f (... follows trail? 0)
Found match #33 eafe763c:fcc734c4 (... follows trail? 1)
Found match #34 0b8a65a4:f81e08aa (... follows trail? 1)
Found match #35 e5d253e8:8691b6b0 (... follows trail? 1)
Found match #36 c8ae3ae0:908096b2 (... follows trail? 1)
Found match #37 c2aa261a:807b62db (... follows trail? 1)
Found match #38 c298283a:4272e415 (... follows trail? 1)
Found match #39 eb90579c:f69c52a8 (... follows trail? 1)
Found match #40 953c7eae:aa3cb6cb (... follows trail? 1)
Found match #41 c42a1344:c4e832a4 (... follows trail? 1)
Found match #42 4246b98c:5af190ea (... follows trail? 1)
Found match #43 d9da1376:cc09aeeb (... follows trail? 1)
Found match #44 b09658b0:c8090068 (... follows trail? 1)
Found match #45 1ffe20f8:ea6d2e6c (... follows trail? 1)
Found match #46 875a1a7c:cdacdc18 (... follows trail? 1)
Found match #47 b4000582:d0100982 (... follows trail? 1)
Found match #48 88fc6b66:30890033 (... follows trail? 1)
Found match #49 edd22994:06acaa58 (... follows trail? 1)
